id,uuid,name,exercise_base,status,description,creation_date,category,muscles,muscles_secondary,equipment,language,license,license_author,variations
97,0ec76f5d-1311-4d6d-bf79-00fa17c3061a,Benchpress Dumbbells,75,2,"<p>The movement is very similar to benchpressing with a barbell, however, the weight is brought down to the chest at a lower point.</p>
<p>Hold two dumbbells and lay down on a bench. Hold the weights next to the chest, at the height of your nipples and press them up till the arms are stretched. Let the weight slowly and controlled down.</p>",2013-05-05,11,[4],"[2, 5]","[8, 3]",2,1,wger.de,[]
88,03d821e7-e1ac-4026-903b-d406381cbf76,Bench Press Narrow Grip,76,2,"<p>Lay down on a bench, the bar is directly over your eyes, the knees form a slight angle and the feet are firmly on the ground. Hold the bar with a narrow grip (around 20cm.). Lead the weight slowly down till the arms are parallel to the floor (elbow: right angle), press then the bar up. When bringing the bar down, don't let it down on your nipples as with the regular bench pressing, but somewhat lower.</p>",2013-05-05,8,[5],"[2, 4]","[1, 8]",2,1,wger.de,"[88, 217, 85, 84, 386, 218, 186]"
268,34ce7ec5-12a1-4bf8-b4f1-94544c3f1cfc,Bent High Pulls,79,2,"<p>Bend over slightly while holding two dumbbells.  Pull the dumbbells up to your chest, keeping your elbows as high as you can.</p>",2014-09-01,13,[9],[],[3],2,1,lakerbeezel,[]
412,b8466ace-ebc7-42bb-941c-39e0e7e67a4f,Bent Over Barbell Row,80,2,"<ol>
<li>Holding a barbell with a pronated grip (palms facing down), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.</li>
<li>Now, while keeping the torso stationary, breathe out and lift the barbell to you. Keep the elbows close to the body and only use the forearms to hold the weight. At the top contracted position, squeeze the back muscles and hold for a brief pause.</li>
<li>Then inhale and slowly lower the barbell back to the starting position.</li>
<li>Repeat for the recommended amount of repetitions.</li>
</ol>",2016-08-15,12,[],[],[1],2,2,warchildmd,"[412, 362, 109, 110, 340, 214, 202, 670, 142, 108, 106, 339]"
362,f866fd75-c18d-4419-84b9-1b9ccd22adba,Bentover Dumbbell Rows,81,2,"<p>With dumbbells in hand, bend at the hip until hands hang just below the knees (similar to straight-legged-deadlift starting position). Keep upper body angle constant while contracting your lats to pull you ellbows back pinching the shoulder blades at the top. Try not to stand up with every rep, check hands go below knees on every rep.</p>",2016-01-05,12,[12],[],[],2,2,sebk,"[412, 362, 109, 110, 340, 214, 202, 670, 142, 108, 106, 339]"
421,170cc52f-345f-41b3-bdae-8a5e0c9aa449,Bent-over Lateral Raises,82,2,"<p>Sit on bench while holding weights. Bend forward as far as possible, with arms slightly bent at the elbow. Perform a lateral raise while maintaining the bend in your elbow.</p>",2016-09-29,13,[],[],"[8, 3]",2,2,apeschel,"[421, 233, 148, 149, 306, 237]"
919,2b0205ef-40cc-49d3-b982-d42b60f05ebb,Bent Over Laterals,352,2,"<p>The bent over lateral raise directly hits the rear deltoids (Shoulders). Considered an isolation exercise, it also exercises the trapezius muscles, which are considered secondary muscles. This exercise also hits the side deltoids as well.</p>









<p>1. In a seated position with your feet firmly planted on the floor, grasp two dumbbells with both hands.</p>
<p>2. Bend over until your body is roughly parallel to the ground or slightly above. Your chest should almost be touching your thighs.</p>
<p>3. In a controlled fashion, raise the dumbbells with both hands using your shoulders, out and away from the body. You should raise the dumbbells to each side until they are parallel with the upper back.</p>
<p>4. Pause for a moment and slowly lower the weight to the initial position.</p>








",2021-08-18,13,[2],[9],[3],2,2,Blake Bissaillion,[]
109,f82c579e-c069-4dc7-8e36-a3266dfd8e4a,Bent Over Rowing,83,2,"<p>Grab the barbell with a wide grip (slightly more than shoulder wide) and lean forward. Your upper body is not quite parallel to the floor, but forms a slight angle. The chest's out during the whole exercise.</p>
<p>Pull now the barbell with a fast movement towards your belly button, not further up. Go slowly down to the initial position. Don't swing with your body and keep your arms next to your body.</p>",2013-05-05,12,[12],"[2, 1]",[1],2,1,wger.de,"[412, 362, 109, 110, 340, 214, 202, 670, 142, 108, 106, 339]"
110,77688310-f2cf-4d37-a854-dca906387be7,Bent Over Rowing Reverse,84,2,"<p>The same as <em>regular</em> rowing, but holding a reversed grip (your palms pointing forwards):</p>
<p>Grab the barbell with a wide grIp (slightly more than shoulder wide) and lean forward. Your upper body is not quite parallel to the floor, but forms a slight angle. The chest's out during the whole exercise.</p>
<p>Pull now the barbell with a fast movement towards your belly button, not further up. Go slowly down to the initial position. Don't swing with your body and keep your arms next to your body.</p>",2013-05-05,12,[12],"[2, 1]",[1],2,1,wger.de,"[412, 362, 109, 110, 340, 214, 202, 670, 142, 108, 106, 339]"
74,c56078d2-ae85-4524-a467-d1e143b6df1a,Biceps Curls With Barbell,91,2,"<p>Hold the Barbell shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>",2013-05-05,8,[1],[13],[1],2,1,wger.de,"[74, 81, 80, 129, 275, 298, 86, 138, 193, 208, 205, 768, 305]"
81,48a59aa8-4568-409c-8afe-f8cb99c558ea,Biceps Curls With Dumbbell,92,2,"<p>Hold two barbells, the arms are streched, the hands are on your side, the palms face inwards. Bend the arms and bring the weight with a fast movement up. At the same time, rotate your arms by 90 degrees at the very beginning of the movement. At the highest point, rotate a little the weights further outwards. Without a pause, bring them down, slowly.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>",2013-05-05,8,[1],[13],[3],2,1,wger.de,"[74, 81, 80, 129, 275, 298, 86, 138, 193, 208, 205, 768, 305]"
80,38919515-ce04-4383-9c3f-5846edd0e844,Biceps Curls With SZ-bar,94,2,"<p>Hold the SZ-bar shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement.</p>
<p>Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows).</p>",2013-05-05,8,[1],[13],[2],2,1,wger.de,"[74, 81, 80, 129, 275, 298, 86, 138, 193, 208, 205, 768, 305]"
129,8c6c1544-cbf8-403c-ae12-b27b392702f8,Biceps Curl With Cable,95,2,"<p>Stand around 30 - 40cm away from the cable, the feet are firmly on the floor. Take the bar and lift the weight with a fast movements. Lower the weight as with the dumbbell curls slowly and controlled.</p>",2013-05-05,8,[1],[],[],2,1,wger.de,"[74, 81, 80, 129, 275, 298, 86, 138, 193, 208, 205, 768, 305]"
341,4e15a410-5530-4b86-964f-8af26e118e2b,Body-Ups,112,2,"<ol>
<li>Assume a plank position on the ground. You should be supporting your bodyweight on your toes and forearms, keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position.</li>
<li>Pressing your palms firmly into the ground, extend through the elbows to raise your body from the ground. Keep your torso rigid as you perform the movement.</li>
<li>Slowly lower your forearms back to the ground by allowing the elbows to flex.</li>
<li>Repeat as needed.</li>
</ol>",2015-07-21,8,[5],[],[7],2,2,cal.zabel,[]
342,5bd3ba00-8f4e-4935-a682-87b150d830c8,Braced Squat,124,2,"<p>Stand with feet slightly wider than shoulder-width apart, while standing as tall as you can.</p>
<p>Grab a weight plate and hold it out in front of your body with arms straight out. Keep your core tight and stand with a natural arch in your back.</p>
<p>Now, push hips back and bend knees down into a squat as far as you can. Hold for a few moments and bring yourself back up to the starting position.</p>",2015-07-23,9,[10],[8],[],2,2,sevae,"[407, 342, 300, 191, 650, 389, 355, 160, 185, 111, 795, 387]"
914,a9f2d62a-6a3c-4b20-b3ff-cb3654bf3195,Bulgarian Split Squat,748,2,"<p>1. Find a stable implement (a bench or a chair) and place the left foot hip-distance in front of the right one. Your core should be engaged, your shoulders should be back and your eyes and chest should face forward.</p>
<p>2. Raise the right leg off the ground and pulace it on the bench behind you.</p>
<p>3. Check your balance and distance between the feet. Your feet should not be on the same line as that will make it difficult to balance.</p>
<p>4. Bend your left knee and lower downard. Maintain position and push upward. The right knee is used only for balance and should bend by itself.</p>
<p>5. Switch the feet and repeat</p>
<p>The exercise can be done without weights, with dumbbells or a barbell.</p>",2021-07-29,9,[10],"[11, 8]","[1, 8, 3, 7]",2,2,hanswolo,[]
354,6335de72-146f-4f38-886d-6b8a27db62ff,Burpees,132,2,"<p>Jump, lay down on your chest, do a pushup then jump, repeat</p>",2015-11-01,11,[],[],[],2,2,er0355,[]
98,3c3857f8-d224-4d5a-8cc1-f4e7982d3475,Butterfly,135,2,"<p>Sit on the butterfly machine, the feet have a good contact with the floor, the upper arms are parallel to the floor. Press your arms together till the handles are practically together (but aren't!). Go slowly back. The weights should stay all the time in the air.</p>",2013-05-05,11,[4],[2],[],2,1,wger.de,[]
99,08637e04-d995-4c07-b021-a20f26b6fd97,Butterfly Narrow Grip,137,2,"<p>The movement is the same as with a regular butterfly, only that the grip is narrow:</p>
<p>Sit on the butterfly machine, the feet have a good contact with the floor, the upper arms are parallel to the floor. Press your arms together till the handles are practically together (but aren't!). Go slowly back. The weights should stay all the time in the air.</p>",2013-05-05,11,[4],[],[],2,1,wger.de,[]
124,8715a96e-c8a2-458a-b023-4ea7d82fdab8,Butterfly Reverse,139,2,,2013-05-05,13,[2],[],[],2,1,wger.de,[]
207,1b9ed9da-46d1-4484-8acc-236379ee823c,Cable Cross-over,141,2,"<p>Begin with cables at about shoulder height, one in each hand. Take a step forward so that one foot is in front of the other, for stability, and so that there is tension on the cables. Bring hands together in front of you. Try to make your hands overlap (so that the cables cross) a few inches.</p>",2014-01-15,11,[4],[],[],2,1,tuckerm,[]
265,a7e15f4f-a7e6-4c0c-9bcb-ef3de90201aa,Cable External Rotation,142,2,"<p>Steps:</p>
<ol>
<li>Start off placing an extension band around a post or in a secure position where it will not release and is at elbow level.</li>
<li>Position yourself to the side of the band and with your hand that is opposite of the band, reach out and grab the handle.</li>
<li>Bring the band to your chest keeping your elbow bent in a 90 degree angle then slowly rotate your arm in a backhand motion so that the band externally rotates out</li>
<li>Continue out as far as possible so that you feel a stretch in your shoulders, hold for a count and then return back to the starting position.</li>
<li>Repeat for as many reps and sets as desired.</li>
</ol>",2014-07-27,13,[2],[],[],2,1,lauroernesto,[]
167,c376346a-1923-4468-9320-b0f480c46b1e,Cable Woodchoppers,145,2,"<p>Set cable pulley slightly lower than chest height. Keep body facing forward with hips stable.  Grab the pulley handle, fully extend your arms and bring your arms forward and across your body. Hold for 1 second at the end of the movement and slowly return to starting position.</p>",2013-06-23,10,[14],[],[],2,1,robhoyt,[]
308,074530d6-801a-404b-b3b7-adc207be69be,Calf Press Using Leg Press Machine,146,2,"<p>Put  the balls of your feet on an extended leg press pad.  Use your calves to press the weight by flexing your feet/toes into a pointed position, and releasing back into a relaxed position.</p>
<p>This exercise builds mass and strength in the Gastrocnemius and Soleus muscles as well, if not better, than any calf exercise.</p>",2015-02-06,9,"[7, 15]",[],[],2,2,nate303303,[]
776,b6ecc0eb-877c-449f-ac61-8caced7736d6,Calf Raises,147,2,"Calf raises are a method of exercising the gastrocnemius, tibialis posterior and soleus muscles of the lower leg. The movement performed is plantar flexion, a.k.a. ankle extension.",2020-04-06,9,"[7, 15]",[],"[3, 10]",2,3,BFad07,"[776, 104, 103, 102]"
104,e7677699-5e4f-49e6-a645-e8915a203c4d,Calf Raises on Hackenschmitt Machine,148,2,"<p>Place yourself on the machine with your back firmly against the backrest, the feet are on the platform for calf raises. Check that the feet are half free and that you can completely stretch the calf muscles down.</p>
<p>With straight knees pull up your weight as much as you can. Go with a fluid movement down till the calves are completely stretched. Repeat.</p>",2013-05-05,9,[7],[15],[],2,1,wger.de,"[776, 104, 103, 102]"
803,0849d95d-e83b-44bd-ae95-1fcb89fa5a04,Chin Up,152,2,"The chin-up (also known as a chin or chinup) is a strength training exercise. People frequently do this exercise with the intention of strengthening muscles such as the latissimus dorsi and biceps, which extend the shoulder and flex the elbow, respectively. In this maneuver, the palms are faced towards the body. It is a form of pull-up in which the range of motion is established in relation to a person's chin.",2020-05-10,12,[],[],[6],2,3,BFad07,[]
181,f6c4e2fa-226d-46e8-87dc-75fc8cd628bd,Chin-ups,154,2,<p>Like pull-ups but with a reverse grip</p>,2013-07-24,12,"[1, 12]",[],[6],2,1,oliser67,[]
217,6cc54626-d5ef-4013-9184-010ac96de20a,Close-grip Bench Press,157,2,"<p>Perform a typical bench press, but hold the bar with your hands approximately shoulder-width apart and keep your elbows close to your body.</p>",2014-02-01,8,[5],[4],"[1, 8]",2,1,tuckerm,"[88, 217, 85, 84, 386, 218, 186]"
213,42b092ec-80b1-4471-90d1-e462a65ab18c,Close-grip Lat Pull Down,158,2,"<p>Grip the pull-down bar with your hands closer than shoulder width apart, with your palms facing away from you. Lean back slightly. Pull the bar down towards your chest, keeping your elbows close to your sides as you come down. Pull your shoulders back at the end of the motion.</p>",2014-02-01,12,[12],[],[],2,1,tuckerm,"[213, 188, 187, 216, 215, 212, 424, 204]"
194,122f5dd3-fc8c-47fe-9a79-1c15cf784a60,Cross-Bench Dumbbell Pullovers,161,2,"<p>Grasp a moderately weighted dumbbell so your palms are flat against the underside of the top plates and your thumbs are around the bar. Lie on your back across a flat bench so only your upper back and shoulders are in contact with the bench. Your feet should be set about shoulder-width apart and your head should hang slightly downward. With the dumbbell supported at arm's length directly about your chest, bend your arms about 15 degrees and keep them bent throughout the movement. Slowly lower the dumbbell backward and downward in a semicircle arc to as low a position as is comfortably possible. Raise it slowly back along the same arc to the starting point, and repeat for the required number of repetitions.</p>",2013-08-20,11,"[12, 4, 3]",[],[],2,1,powerade69,[]
91,d325dd5c-6833-41c7-8eea-6b95c4871133,Crunches,167,2,"<p>Lay down on your back a soft surface, the feet are on the floor. Ask a partner or use some other help (barbell, etc.) to keep them fixed, your hands are behind your head. From this position move your upper body up till your head or elbows touch your knees. Do this movement by rolling up your back.</p>",2013-05-05,10,[6],[3],"[8, 4]",2,1,wger.de,"[91, 94, 92, 416, 93, 176, 95, 170]"
94,6709577b-95ec-4053-a822-d5fe1f753966,Crunches on Machine,172,2,"<p>The procedure is very similar as for regular crunches, only with the additional weight of the machine. Sit on the machine, put both feet firmly on the ground. Grab the to the weights, cables, etc. and do a rolling motion forwards (the spine should ideally lose touch vertebra by vertebra). Slowly return to the starting position. </p>",2013-05-05,10,[6],[],[],2,1,wger.de,"[91, 94, 92, 416, 93, 176, 95, 170]"
92,8d6c13c6-256d-4137-b1c6-b0e817697639,Crunches With Cable,173,2,"<p>Take the cable on your hands and hold it next to your temples. Knee down and hold your upper body straight and bend forward. Go down with a fast movement, rolling your back in (your ellbows point to your knees). Once down, go slowly back to the initial position.</p>",2013-05-05,10,[6],[],[],2,1,wger.de,"[91, 94, 92, 416, 93, 176, 95, 170]"
416,6ec0d447-1dfa-40fa-9fad-9a86c222d1a4,Crunches With Legs Up,174,2,"<p>On your back, legs extended straight up, reach toward your toes with your hands and lift your shoulder blades off the ground and back.</p>",2016-09-13,10,[6],[14],[],2,2,krisbbb,"[91, 94, 92, 416, 93, 176, 95, 170]"
619,b1133e95-a644-42e4-b109-38bda8bda278,Curl su Panca a 45°,175,2,<p>Bicipiti su panca a 45°. Il movimento deve essere completo</p>,2018-11-27,8,[1],[],[8],2,2,csequino,[]
806,035d5dfc-1a1b-480b-bc9b-b6f634f19aee,Cycling,177,2,"Cycling, also called bicycling or biking, is the use of bicycles for transport, recreation, exercise or sport. People engaged in cycling are referred to as cyclists, bicyclists, or bikers. Apart from two-wheeled bicycles, cycling also includes the riding of unicycles, tricycles, quadracycles, recumbent and similar human-powered vehicles.",2020-05-11,9,"[14, 9]","[11, 13, 8, 12, 10]",[7],2,3,BFad07,[]
544,e3c163b4-205e-457f-8b91-68e5c6d6be96,Deadbug,178,2,"Lie on your back, with your hips and knees bent to 90°. Raise both arms toward the ceiling. Pull your lower back to the floor to eliminate the gap. Start by pressing one leg out, and tapping the heel to the floor. ""As you extend one leg, exhale as much as you can, keeping your lower back glued to the floor,"" Dunham says. When you can’t exhale any more, pull your knee back to the starting position. Make this more difficult by holding weight in your hands, or by lowering opposite arm and leg.",2018-01-15,10,[],[],[],2,2,Metin,[]
347,8976d255-d7e4-46c7-8079-ca525f0a7d0d,Deadhang,182,2,<p>Deadhang performed on an edge either with or without added weight (adujst edge or weight to adjust difficulty)</p>,2015-08-27,8,[],[],[],2,2,2dPREtEZP221u68Akf0JImv5L48,[]
105,22cca8fc-cfaf-4941-b0f7-faf9f2937c52,Deadlifts,184,2,"<p>Stand firmly, with your feet slightly more than shoulder wide apart. Stand directly behind the bar where it should barely touch your shin, your feet pointing a bit out. Bend down with a straight back, the knees also pointing somewhat out. Grab the bar with a shoulder wide grip, one underhand, one reverse grip.</p>
<p>Pull the weight up. At the highest point make a slight hollow back and pull the bar back. Hold 1 or 2 seconds that position. Go down, making sure the back is not bent. Once down you can either go back again as soon as the weights touch the floor, or make a pause, depending on the weight.</p>",2013-05-05,12,[12],[8],[],2,1,wger.de,"[105, 381, 161, 351, 328, 209]"
100,b72ae8d4-ede6-4480-8fc5-7b80e369f7ed,Decline Bench Press Barbell,185,2,"<p>Lay down on a decline bench, the bar should be directly above your eyes, the knees are somewhat angled and the feet are firmly on the floor. Concentrate, breath deeply and grab the bar more than shoulder wide. Bring it slowly down till it briefly touches your chest at the height of your nipples. Push the bar up.</p>",2013-05-05,11,[4],[],[1],2,1,wger.de,"[192, 100, 101, 163, 210, 211, 270, 399]"
101,80d318b3-4b8a-41aa-9c6c-0a2a921fe1e6,Decline Bench Press Dumbbell,186,2,"<p>Take two dumbbells and sit on a decline bench, the feet are firmly on the floor, the head is resting the bench. Hold the weights next to the chest, at the height of your nipples and press them up till the arms are stretched. Let the weight slowly and controlled down.</p>",2013-05-05,11,[4],[],[3],2,1,wger.de,"[192, 100, 101, 163, 210, 211, 270, 399]"
260,36ef5f12-6f77-4754-a926-39915e4b57a5,Decline Pushups,188,2,"<p>With your feet raised approximately 30cm on a platform, align your shoulders, elbows and hands, then perform regular pushups. This emphasises the clavicular fibers of the pectoralis major.</p>",2014-07-12,11,[4],"[2, 5]",[7],2,1,aszc,"[260, 168, 182, 790, 302]"
381,83b741dc-fd19-4c85-ac0c-b0388c5838e6,Deficit Deadlift,189,2,"<p>Preparation</p>
<p>Stand on weight plate, bumper plate, or shallow elevated platform with loaded bar above feet. Squat down and grasp bar with shoulder width or slightly wider overhand or mixed grip.</p>
<p> </p>
<p>Execution</p>
<p>Lift bar by extending hips and knees to full extension. Pull shoulders back at top of lift if rounded. Return weights to floor by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Repeat.</p>
<p> </p>
<p>Comments</p>
<p>Throughout lift, keep hips low, shoulders high, arms and back straight. Knees should point same direction as feet throughout movement. Keep bar close to body to improve mechanical leverage. Grip strength and strength endurance often limit ability to perform multiple reps at heavy resistances. Gym chalk, wrist straps, grip work, and mixed grip can be used to enhance grip. Mixed grip indicates one hand holding with overhand grip and other hand holding with underhand grip. Lever barbell jack can be used to lift barbell from floor for easier loading and unloading of weight plates.</p>
<p>Barbell Deficit Deadlift emphasizes building strength through lowest portion of Deadlift. Target muscle is exercised isometrically. Heavy barbell deadlifts significantly engages Latissmus Dorsi. See Barbell Deficit Deadlift under Gluteus Maximus. Also see Deadlift Analysis.</p>",2016-02-09,12,[],"[11, 8, 12, 6, 15]",[1],2,2,bobbyprince89,"[105, 381, 161, 351, 328, 209]"
329,ee291ad5-2064-4d0a-b252-c715f362e035,Diagonal Shoulder Press,193,2,"<p>You sit at the bench press device, back slightly tilted to the back. The bar should be about 20 cm in front of you. Then you push the bar and take it back again, as you would with a bench press.</p>
<p>In this position you strain your chest muscles a lot less, which is nice if you want to train, but your chest hasn't recovered yet.</p>
<p>Here's a link to a girl on a machine specialized for this exercise, to give a better description than my failing words above.</p>
<p>http://www.schnell-online.de/db_imgs/products/img/t-80400.jpg</p>",2015-06-12,13,[],[],[8],2,2,oboema,"[227, 329, 229, 190, 119, 123, 152, 155]"
781,7191e015-0c60-4376-9be0-733b9754b7f8,Dips,194,2,"A dip is an upper-body strength exercise. Narrow, shoulder-width dips primarily train the triceps, with major synergists being the anterior deltoid, the pectoralis muscles (sternal, clavicular, and minor), and the rhomboid muscles of the back (in that order).[1] Wide arm training places additional emphasis on the pectoral muscles, similar in respect to the way a wide grip bench press would focus more on the pectorals and less on the triceps.",2020-04-06,11,"[4, 5]",[5],[7],2,3,BFad07,[]
82,22879094-ced4-4bd1-81f2-76fdfeb867e6,Dips,195,2,"<p>Hold onto the bars at a narrow place (if they are not parallel) and press yourself up, but don't stretch the arms completely, so the muscles stay during the whole exercise under tension. Now bend the arms and go down as much as you can, keeping the elbows always pointing back, At this point, you can make a short pause before repeating the movement.</p>",2013-05-05,8,[5],"[4, 6]",[],2,1,wger.de,"[82, 83, 360, 162]"
83,aa4fcd9b-baee-41cf-b4c5-8462bc43a8be,Dips Between Two Benches,197,2,"<p>Put two benches so far appart, that you can hold onto one with your hands and are just able to reach the other with your feet. The legs stay during the exercise completely stretched. With your elbows facing back, bend them as much as you can. Push yourself up, but don't stretch out the arms.</p>",2013-05-05,8,[5],[],[8],2,1,wger.de,"[82, 83, 360, 162]"
275,dfa090e4-77ae-40ed-86c0-4696fe93dcf1,Dumbbell Concentration Curl,202,2,<p>Sit on bench. Grasp dumbbell between feet. Place back of upper arm to inner thigh. Lean into leg to raise elbow slightly.</p>,2014-10-04,8,[13],[1],[3],2,1,http://www.exrx.net/WeightExercises/Brachialis/DBC,"[74, 81, 80, 129, 275, 298, 86, 138, 193, 208, 205, 768, 305]"
300,2120f390-4a5f-41bc-9139-045581a3a245,Dumbbell Goblet Squat,203,2,"<p>Grasp dumbbell with both hands at the sides of the upper plates. Hold dumbbell in front of chest, close to torso. Place feet about shoulderwide apart, keep knees slightly bent.</p>
<p>Squat down until thighs are parallel to floor. Keep back straight, bend and move hips backward to keep knees above feet. Return, keep knees slightly flexed. Repeat.</p>
<p>Keep bodyweight on heels and look ahead or slightly above to keep back straight.</p>",2015-01-08,9,[10],[],[3],2,2,ataraxie67,"[407, 342, 300, 191, 650, 389, 355, 160, 185, 111, 795, 387]"
298,fa56d30a-7a8f-4084-aa68-46bd52f97959,Dumbbell Incline Curl,204,2,"<p>With elbows back to sides, raise one dumbbell and rotate forearm until forearm is vertical and palm faces shoulder. Lower to original position and repeat with opposite arm. Continue to alternate between sides.</p>",2015-01-01,8,[1],[13],[3],2,2,ExRx,"[74, 81, 80, 129, 275, 298, 86, 138, 193, 208, 205, 768, 305]"
112,587c0052-f2bc-48ca-8af9-415175308901,Dumbbell Lunges Standing,205,2,<p>.</p>,2013-05-05,9,[10],[8],[3],2,1,wger.de,"[405, 112, 113]"
113,ffd4ce7e-e14f-49d4-9dc9-dc1362631382,Dumbbell Lunges Walking,206,2,"<p>Take two dumbbells in your hands, stand straight, feet about shoulder wide. Take one long step so that the front knee is approximately forming a right angle. The back leg is streched, the knee is low but doesn't touch the ground. ""Complete"" the step by standing up and repeat the movement with the other leg.</p>",2013-05-05,9,[10],[8],[3],2,1,wger.de,"[405, 112, 113]"
87,d147a6c2-ce64-424b-baf3-4ca841a51512,Dumbbells on Scott Machine,208,2,,2013-05-05,8,[1],[],[],2,1,wger.de,[]
